"","text"
"473"," walking gate wings announced minute delay turned back cup coffee holding room minutes scheduled time finds time completely irresponsible frequently delayed cancel flights apparent "
"474"," rn don expect december "
"475"," decided buy ticket recommended fly tight schedule pursue reputation late cheapest indonesia supposed board wib board provide "
"476"," rn tight nasty airlines avoid airlines december "
"477"," rated worst earth seats tight attendants regard passengers water free expect pay toilets point future "
"478"," rn delayed december "
"479"," ve heard lot bad reviews choice choose back home price time delayed minutes compared people experiences friend didn day "
"480"," rn delayed december "
"481"," flights weeks time bali lombok back flights hrs late lombok jakarta hrs late jakarta singapore hrs late worst thing make announcements find "
"482"," rn cancellation november "
"483"," recommend flying reason changed book day work schedule refund takes business days months long time money back budget conscious traveler "
"484"," rn quid fligys november "
"485"," booked app arrived bangkok journey time mins centre bangkok traffic terrible hour leave travel time airport clean tidied huge huge food selection "
"486"," rn delayed november "
"487"," im lucky met delays heard people delay hours cancelled free water spend money leave thirsty aircraft cancellatikn booking "
"488"," rn cheapest november "
"489"," volcanos bali domestic international cancelled situation operate fly knew aircraft seat narrow worth price cheap don surprise delays "
"490"," rn anymore november "
"491"," times experience delayed hours don’ understand delay experience lost stuff luggage inside padlock arrived destination didn’ find bad shame don’ "
"492"," rn short delight november "
"493"," short crew friendly big smile real life safety demonstration talk indonesian uniform attentdant pretty "
"494"," rn nightmare bad unprofessional november "
"495"," couldn land labuan bajo due bad weather conditions flew kupang told morning nightmare began horrible organization transfer accomodation complicated staff flights promised day raising clock "
"496"," rn flights delayed airport november "
"497"," explanation due operational problems dont mind paying bit domestic flights ive trip fine connect international missed cuz incompetence "
"498"," rn hours delay info november "
"499"," general aircraft service boarding gate informed delayed minutes didn give information disappeared info screens gate boarding time min finally delay hours "
"500"," rn lie november "
"501"," delays checked told delayed time alternative fly time check time staff trained cheap "
"502"," rn good november "
"503"," cabin crew delivered good friendly service flights delayed hour bit inconvenient caused technical issue chain reaction traffics airportsoverall alright "
"504"," rn turtle lol november "
"505"," low cost airlines yeah super poor service delay time information staff hiding cust considered change airlines suggestion turtle airlines "
"506"," rn wouldn book november "
"507"," attempted booking day indonesia allowing book informed credit cards foreign bank cards hours booking atm transfer googled "
"508"," rn worst asia november "
"509"," dont multiple comments received locals trusted fact biggest private indonesia comments flights booked delayed hours book flights "
"510"," rn delay acceptable reason october "
"511"," jt night hour delay friendly attendance terrible sriwijaya citilink delay reason due waiting transit passenger batam "
"512"," rn delay announcement october "
"513"," today sl don muang trang delay inform annountment delay inform guest sitting waiting information waiting hear staff call plan informaion delay "
"514"," rn late october "
"515"," recently flights jakarta yogyakarta back jakarta flights late leaving yogya half hours late give credit point gave fried chicken box doesn free water "
"516"," rn terrible experience service october "
"517"," told delay minutes bound fly barely information eveb times happening ended landing original time minute drivers wait "
"518"," rn ’ long ’ relying time october "
"519"," flown multiple occasions domestic flights indonesia generally issues time time ’ve frustrating time delays ongoing issue lot travellers experienced thing note staff manage delays "
"520"," rn pay october "
"521"," frill cheap oke service board flights time lucky domestic termnal yogya bali bit confusing flights leaving gate "
"522"," rn feet october "
"523"," real thrill knowing confirmed write bunch mails proceeded make uncountable telephone calls people absoloutely plan "
"524"," rn cancelled hours delay lie travel agency avoid refund october "
"525"," supposed short transformed worst experience st october supposed fly announced boarding learned midnight finally cancelled yogyakarta airport closed indication whatsoever hours wait staff "
"526"," rn economical airways bang time october "
"527"," plane bang time landed time planes small fleet meals board average don offer don pay simple hostesses helpful dressed served smile "
"528"," rn flying plane october "
"529"," flew times satisfactory schedule delayed long landing plane slammed mid october flew batam kuala namu medan medan penang malaysia boarding schedule calling officers "
"530"," rn make fly october "
"531"," lot airlines group yogyakarta bandung oktober oclock delayed weather boarding poor enjoy half hour yogyakarta minutes top yogyakarta "
"532"," rn delayed october "
"533"," delay predicate time plane delayed hours half due operational reason compensation announcement beginning check wait wait "
"534"," rn cheap service october "
"535"," price cheap airplane delayed reason people flexible time recomended aircraft recommend plane "
"536"," rn good small flights make gate airport october "
"537"," good experiences budget airlines back night coordinate airlines english speaking staffthere airports jakarta indonesia "
"538"," rn longer luggage fly october "
"539"," omg wait plane hour landed minutes lot bags minutes "
"540"," rn pleasantly suprised october "
"541"," planned easy check criticism check online print boarding pass holidaylanded time pleasantly surprised reviews complimentary "
"542"," rn late october "
"543"," delayedchange departure time notice delayed top representatives boarding areaif find representative don depart delayed airlines asks customers line board boarding doesn place minutes "
"544"," rn depart september october delayed hours departure time october "
"545"," jt october supposed leave cgk jakarta makassar departure late hours departure arrived makassar hasanuddin horrid horrible airlines alll flights delayed upg cgk upg month september "
"546"," rn time october "
"547"," time lucky leave day day time competitors timimg amd don give choice bad don timing part buisness bad "
"548"," rn disappointed september "
"549"," acronym late nature describe schedule plane today delayed minutes late schedule morning becauseè time plane late mine today "
"550"," rn time delay problems luggage september "
"551"," cheaper time delay mess boarding people carry bags crew manage bag bigger allowed bag board bags stop respect "
"552"," rn aint bad class september "
"553"," suprisingly half hour boarding delay bad suppose due landing lombok experience good completed super smooth landing lop "
"554"," rn average service september "
"555"," semarang sunday morning mother law passed buy ticket saturday night normal price scheduled morning perfect time thing matter conditioning didn work properly "
"556"," rn good service september "
"557"," late customer service wasn good don offer eather glass water plane dirty seats uncomfortable travel thailand smile thai smile "
"558"," rn mixed feelings dissapointed september "
"559"," arrived check desk delay hours person counter delay hour finally delay hours missed amsterdam jakarta verbal pressure "
"560"," rn bad company september "
"561"," bad experience ruined beautiful weeks holiday return switzerland planning local lombok jakarta delayed times finally late minutes nightmare missed qatar connections jakarta doha doha geneva didn "
"562"," rn late september "
"563"," late departing returning balikpapan hours outgoing hour return september plane dirty inside entertainment pay time choice endeavor "
"564"," rn champion delay september "
"565"," avoid wing airlines due delay traveled airlines experienced delay airlines services remote areas indonesia prefer airlines time destination area covered airlines "
"566"," rn time inthe morning september "
"567"," cheap airlane delay morning strategic time "
"568"," rn wonderful service september "
"569"," fly bandung bali perfect timing wonderful service helpful crew smooth enjoyed window pay food beverage board price fine "
"570"," rn typical low cost career september "
"571"," typical low cost career thought malindo group career great check check feel lost cost attitude delayed hours bali announcement terminal cabin mark ife food served "
"572"," rn running late september "
"573"," airways lombok bali runs late day years afternoons id youre planning connecting flights bali lombok give upto hours lead time "
"574"," rn leg room september "
"575"," airplane leg room fire exit resonable price good service standard smooth chech worth money pay crew good job friend helpful phuket bangkok limited menu "
"576"," rn master delay september "
"577"," poor poor management delayed hours suck airport representative services bad don expect company "
"578"," rn big delay information hours late info board turned explanation september "
"579"," delayed hours thirty minutes info switched departure info board staff shrugged shoulders asked happening missed asia bali perth pay idr morning lost prepaid seat assignment meal drink squeezed crap seat asia insurance waste time "
"580"," rn average september "
"581"," usual delay mind choose delay choose good price delay min schedule hospitality good "
"582"," rn short distance september "
"583"," experience check counter breeze cabin service butt concern legroom pretty tight person slightly taller heavier average asian seats comfortable flying time hours journey uncomfortable barely "
"584"," rn airlines hate waited september "
"585"," completely fair delay surname airlines delayed minutes compesation passangers hated nice late solve problem cancel pay expansive real price poor "
"586"," rn worst august "
"587"," minutes late announcing plane solo total delay adds hours screwed night planning driving amed night pay bit extra reliable managed time worth "
"588"," rn missed due ground crew blunder august "
"589"," good budget competent crew based landing nice fas serviceable plane minutes scheduled ground crew announced airport public announcement pa system delayed hours considerable number passengers strolled eat stroll word "
"590"," rn low cost compagny banished august "
"591"," delayed mn departure explanations excuses solution missed connection choice buying ticket asia price finally hours staff wasn answer give solution don choose "
"592"," rn low cost good august "
"593"," fly monthly bali jogjakarta found schedule service local airlines hidden costs larger free luggage complementary service good "
"594"," rn expert delay august "
"595"," late night back home suppose pm announce delayed pm great time heard delay announcement route routes delayed transit kl tired hope "
"596"," rn delayed safety issues acfc ad august "
"597"," time time alternative don recommend slightly asia departure time accident past notorious indonesia garuda promo day citilink subsidiary "
"598"," rn lowest price free baggage time august "
"599"," flying day thought delayed delayed airlines turned boarding time precisely minutes schedule missed minutes departure schedule landed denpasar time "
"600"," rn cheap budget terrible ontime performance poor legroom august "
"601"," regulars fly bandung bali planes constantly delayed tall exit row sardine numerous times ve wanted seat row won seats alway empty stupid "
"602"," rn august "
"603"," today flew bali jakarta clock arrived airport ages slow checking bag eventually check bags brought forward hour mins "
"604"," rn good august "
"605"," good time bit longer time mr president visiting bandung minutes "
"606"," rn excellent regional island hopping august "
"607"," pleasant experience time clean tidy plane comfortable gripe dont serve food drink board short haul guess slide "
"608"," rn free luggage safe travels august "
"609"," airlines isn premium carrier free kilogram baggage unlike economy carriers don suitcase occasion pick things traveling fit carry purchase cheap backpack fill nice "
"610"," rn cheap average service airlines august "
"611"," fly airlines cheapest price compared airlines time delayed hour delay queue luckily provide refreshment tough biscuit mineral water prepared arrive airport minimum hours ahead check "
"612"," rn delay august "
"613"," delayed hours original scheduled delayed change airplane turbo prop changed boarding gate announcement happen told change boarding gate gate gate ready boarding announcement boarding gate heard searching "
"614"," rn delayed august "
"615"," reached gate told gate agent delayed minutes due equipment change end hours delay departure arrival hour clear immigration fortunately connection catch "
"616"," rn good money august "
"617"," increased service daily service larger aircraft seat pitch smaller plane slightly late possibly due traffic denpasar "
"618"," rn time august "
"619"," feel good time early low cost carrier nice comfortable trip choose future "
"620"," rn improvement august "
"621"," good cases deal low time performance good cheap clean "
"622"," rn price good service condition good time rate august "
"623"," fare included luggage free meal skip hungry service typical low fare standard condition good time rate betterstill easiest flying domestic indonesia "
"624"," rn seats bit close ft guy normal legs consistent cheap cheerful image august "
"625"," replaced cheap booked asia fight jkt kl kl bkk melindo night day difference usual cheap cheerful fight room leg melindo partner decent leg "
"626"," rn poor service august "
"627"," seats armrest dirty noticed seats stained chewing gum onboard meal sales kg baggage included taking crews "
"628"," rn thing good price kg luggage august "
"629"," talked bad safe blablai choice surprise good cheap kg luggage staff board friendly "
"630"," rn airlines maintain schedule august "
"631"," hour delayed waited airport flights delayed reason offer free food compensation lounge nightmare small room people waiting flights "
"632"," rn august "
"633"," delayed minutes arrived soekarno hatta airport hours schedule open counters check checked website web check long queue brought bags "
"634"," rn low cost airplane august "
"635"," airplane good hurry choose airplane delay everyday "
"636"," rn maltratan equipajes august "
"637"," good afternoon experience good landed luggage men mistreated suitcases luggage broken stained grease approached counter claim answer contact travel insurance "
"638"," rn cheap break pocket august "
"639"," fly traveler time departing airlines delay hours average price bad good price domestic travelling indonesia traveler time recommended book disappointing "
"640"," rn fine delayed august "
"641"," arguably terrible world managed people board everyday low cost "
"642"," rn worst don fly august "
"643"," trip indonesia internal flights time extended delays hours good reason plane hasn arrived preceding announced gave information staff indifferent situation rude people read reviews "
"644"," rn full crap august "
"645"," dirty cabin unfriendly crews delayed hours explanation bad seat pitch average width hot aircraft cheap worth fly wemakepeoplelate pay extra "
"646"," rn indonesia garuda august "
"647"," good experience friendly cabin crew delayed suggest connecting close "
"648"," rn rude staff delayed flights august "
"649"," delayed hours unable online check connecting china asked attendants contact china passengers told didnt china phone number googled phone "
"650"," rn embarrassment indonesian airlines august "
"651"," airlines records guinness book record cancelled week delayed week talking hours delay half hour delay fantastic "
"652"," rn true low cost august "
"653"," true type low cost charge water "
"654"," rn august "
"655"," budget check counter slow extra effort open additional encounter slow "
"656"," rn money budget july "
"657"," cheap paid trip bali singapore hours transit jakarta frills means gotta carry drinks food board boeing er decent aircraft leg room attendants friendly "
"658"," rn service confusing landing july "
"659"," booked time offer direct connection kno pdg expected time servicd onboard pay small water good service landing pdg confusing brake runway landing machine "
"660"," rn worst july "
"661"," read frequent delays hato experience ruined trip bali lombok supposed depart ended leaving time hotel lombok pm plans thought "
"662"," rn delay brand image july "
"663"," domestic avoid choose airlines bad experiences delay international kl sin time positive things routes domestic price cheap "
"664"," rn worst july "
"665"," taking back christmas holiday rescheduled fine cus rescheduled week promised direct jakarta ternate checked jakarta surprisingly tickets means transit tickets showed "
"666"," rn recommended july "
"667"," minutes delay hours delay longer time ridiculous plane filled angry tired passengers doesn care customers "
"668"," rn cramped seating july "
"669"," ve flown boeing cramped seating arrangement plane legroom tall persons positive side time plane clean "
"670"," rn line july "
"671"," disappointed understand competitive price offset maximum service raises complaints arise choice enjoy trip "
"672"," rn recommeded special july "
"673"," honest timer international fly aircraft bad crazy time fit checking counter opened hour boarding time waited hour due arriving hours boarding pass "
"674"," rn breaking indonesian law july "
"675"," hours late bali due indonesian law allowed idr person delay hours people counter hour didn give hour money manager "
"676"," rn avoid july "
"677"," avoid cost case cost tickets delayed hours announcement staff connecting told wait answer missed connecting bags lost pay "
"678"," rn bad airplane world july "
"679"," bad airplane world kerjanya cuman delay delay dan delay upgrade trip passengers "
"680"," rn quick prompt extra mile july "
"681"," reasonable fares newer planes quick trips quick boarding exiting plenty food options purchase friendly helpful staff son left phone found ready returned mini trip vacation excellent landings multiple language interpretations "
"682"," rn route airport indonesia july "
"683"," years ago people complaint dont option market leader indonesia route city indonesia low cost carrier dont expect entertainmnent thing made improvement "
"684"," rn worst july "
"685"," traveled jambi service slow staff helpful friendly staff playing customer ticket agreement check time minutes departure reality customer check minutes departure rejected check counter "
"686"," rn july "
"687"," budget unlike airlines include kilos luggage person don worry luggage family travelling hari raya idul fitri price times normal price reasonable frequent flights jakarta "
"688"," rn surprisingly time july "
"689"," travel day idul fitri peak season thought late delay surprisingly didn "
"690"," rn price service july "
"691"," offer cheap ticket big cities indonesia earlier book cheaper price batik sister east part indonesia fly malaysia thailand armada aircrafts ground staff "
"692"," rn minus late min july "
"693"," special rule cabin luuggage dó wory flights indonesia jakarta yogyakarta yogyakarta denpasar denpasar jakarta check cabin luggage weight cabin luggage passangers bring normal cabin luggage problem "
"694"," rn late late late june "
"695"," delay routes indonesia airplane didn counterbalancing good management delay hours "
"696"," rn late nature june "
"697"," worst airlines indonesia flights expect delays problems including unproffesional ground crew long queue checking check staffs working slow chat staffs double booking tickets bad baggage handling unlike airlines luggage broken picked arrival "
"698"," rn time plm pgk return june "
"699"," route special price beginning ramadhan fasting month directly bought early morning plane lcc comfortable legroom wasn comfortable taller people tall person seat "
"700"," rn singapore june "
"701"," booked agent diethelm tours bangkok boarding quick easy staff kind food deliciousi feeling singapore seat leg space smaller return "
"702"," rn poor check process baggage pickup cgk terminal june "
"703"," experience future travel plan thought price lowest airlines check process killed mood vacation arrived hours time usual find long queues single counter unclear lines "
"704"," rn good cheap june "
"705"," frills pay extra luggage capacity add cheap airlines "
"706"," rn good budget june "
"707"," flown easy book online fast left time ve flown staff pleasant helpful ve problems asia free luggage kg "
"708"," rn timers june "
"709"," didn trust issues scared flying scared delays issues yesterday time soooo long yesterday awesome check desk baggage drops delays perfect perfect landing good job "
"710"," rn time good jet smooth june "
"711"," smooth time multiple experience people delayed true companies airasia garuda improve system ontime price "
"712"," rn safety operations issues june "
"713"," jt june lopaircraft boeing registration pk lhkflight safety aircrew fatigue cabin crew member falling asleep climb fod discarded drink containers dispersal gate aircraft seating seat seat strap incorrectly fitted order wear "
"714"," rn average june "
"715"," delayed complimentary seat comforting attendance smile good budget plenty spare time beware delay "
"716"," rn ontime june "
"717"," travel noticed flights schedule starting boarding landing time schedule important thing safety hope continue improve order passengers anymore "
"718"," rn made significant improvement otp time performance june "
"719"," decided fly attempts past bad experience flying ranging returned engine problem rude treatment attendants boarding stopped flying completely end recently flying "
"720"," rn charter direct guangzhou manado june "
"721"," friend asked join diving tour manado find charter direct guangzhou manado excited boeing er delayed hour leave guangzhou airport services terrible hours "
"722"," rn absurd "
"723"," time flying company hours delayed boat gili late time charged extra taxes imagine reach gili airplane stood min stopped hot inside plane "
"724"," rn delayed "
"725"," time company hours delayed explanation boat gili late time charged extra taxes "
"726"," rn stinking toilets "
"727"," toilets stinking urine smell difficult passengers seated toilets kind spray sprayed aircrew similiar experience flying jogjakarta jakarta hope make minus urine smell "
"728"," rn good delay "
"729"," trips time abroad lucky time experienced travelling domestic delay crews friendly helpful arrived indonesia safely "
"730"," rn dirty "
"731"," poor gate information people flying jakarta mars plane dirty corner full crumbs crap cleaning loaded passenger arrival asia cheap flights indonesia clean "
"732"," rn destination "
"733"," destination customer service time departure reasonable baggage policy ’ slogan “ fly cheap” good thing accomplishing safety complaints flights "
"734"," rn average "
"735"," hours delayed informed technical error bandung airport expected budget attendants job polite "
"736"," rn make people miss flights purpose "
"737"," missed denpasar lombok lost rest trip lombok kuala lumpur waiting airport screens show info gate long time believing gate destination "
"738"," rn delays delays delays "
"739"," booked bali lombok return thinking wow great faster boat lie ways delays half hours pilot circle mins landing return "
"740"," rn expected budget "
"741"," flew jakarta bali due price expected due price budget carrier basic legroom plane older cramped taller ft booking exit row ideal expect warm con takeoff "
"742"," rn average cheap price "
"743"," prefer cheap price short suitable time level ac aboard aircraft hot aircraft ground cooler aircraft main problem withing landing phase "
"744"," rn morning hoamz april "
"745"," time morning time choose morning cabin crew fast serve passenger helpful passenger baggage seat good window dirty "
"746"," rn time comfortable april "
"747"," recently initiated daily kupang denpasar good money aircraft clean arrived time staff friendly helpful check baggage collection "
"748"," rn april "
"749"," past saturday april time hours delay month hours delay totaly unacceptable dont custoner dont situation customer desapointed unprofessional dangerous life good luck "
"750"," rn fly april "
"751"," time ve delayed past weekend bad flew missed airasia needed home checking screen terminal delayed hour inside insisted "
"752"," rn don april "
"753"," don waste time theses guys cancelled notification turning airport kupang staff clue happening guy cancelled back tomorrow laughing "
"754"," rn family trip years years april "
"755"," kind surprising time schedule wasnt ontime back kinda bumpy normal fuzz departure landing "
"756"," rn bad april "
"757"," reading terrible reviews scared fly expected delays friendly staff plane bit shaky landing water nice recommend flying cheap price "
"758"," rn fly april "
"759"," flew return denpasar lombok delayed ways hrs don don reasons awful service catch boat honest "
"760"," rn worst travel experience haven boarded april "
"761"," complete joke mob customer completely website booking process doesn work app won accept payment days hotel reserve pay flights apparently don accept foreign transfers credit cards figure unable book "
"762"," rn number terrible service world april "
"763"," times bought flights time terrible service delayedno airplease owner realize stupid position "
"764"," rn lazy late april "
"765"," worst indonesian addition budget planes full broken equipment planes late leave arrive time make worse employees disorganized apathetic collectively terrible people fly "
"766"," rn patient keyword march "
"767"," lionair biggest company indonesia cover destination indonesia including remote location wings company group serve smaller aircraft schedule make choose schedule providing cheap ticket compare ideal "
"768"," rn fast frills travel cheap march "
"769"," ve flown times years chaotic legroom real board service efficient indonesian archipelago constantly expanding list destinations subsidiary wings covers large stretch "
"770"," rn helpfull march "
"771"," nam cancelled time arrived airport ado directed customer service office hour airport suffered tropical deluge staff politely diligently worked passengers "
"772"," rn total confusion start finish march "
"773"," bought online cheap complain price bux return substantial return arrived airport checked smooth asked aisle seat middle front sir didnt check seat number boarded boarded plane late "
"774"," rn improving march "
"775"," travelling beginning previous terrible choices past months denpasar jakarta return good surprisingly time minutes delayed evening denpasar "
"776"," rn comfortable check good late march "
"777"," efficent check boarded time sat plane waiting connecting flights passengers assume board left mins late board good aisle seat requested check usual snacks cheap price landed mins late bit pan "
"778"," rn delayed cheap budget job march "
"779"," evening fast check hour queue full asked emergency exit seat baord ver comfortable wit emerg exit seat landed minutes late time catch onward connection "
"780"," rn ontime cheap comfortable march "
"781"," efficient check asked aisle seat boarded time comfortable cheap snacks landed time complaints time comfortable cheap price "
"782"," rn cheap ontime complaints march "
"783"," caught denpasar surabaya check queue long didnt give myslef lot time minutes check efficient time rear window seat comfort factor poor legs squeezed seat unable reline snacks "
"784"," rn cheap fly jakarta sumbawa besar february "
"785"," sister compagny wings delays cheap good travel jakarta sumbawa besar stop mataram lombok indonesia things organized airports reaches destinations quickly forgotten "
"786"," rn time february "
"787"," times month amazing delay knownn king delay choose cheap time schedule "
"788"," rn disorganized february "
"789"," back jakarta condition work cabin attendant apologised work case functioning properly sign poor maintenance cabin crew file complaint maintenance department "
"790"," rn low cost carier indonesia february "
"791"," late delayed information passengers unpleasant rude boarding runner bali airport space legroom money low cost carier "
"792"," rn wrost indonesia february "
"793"," space legroom service smiling attendents wrost short delay half hours "
"794"," rn free ticket february "
"795"," times travel denpasar jakarta missed time time missed pure fault politely weather join check staff refer "
"796"," rn year year worst company indonesia february "
"797"," time late delayed information passengers rude arrogant unpleasant attendants smelly dirty cabins seat pockets dirty unhygienic lavatory slow baggage handling ground staff annoying unhelpfulit disgrace indonesia government "
"798"," rn worst february "
"799"," worst life hours delay penang kuala namu medan crew gate desk didn give proper explanation gave fried rice egg super small portion don taste cup water delivered pm "
"800"," rn hotel provided canceled february "
"801"," canceled labuan bajo bali due weather delaying flights day provide hotel accomodation double expence booking night labuan bajo cost hotel booked bali process highly disorganised "
"802"," rn unexpected decent service january "
"803"," connecting chennai jan great reluctance booked poor reviews forums expected hour delay surprise time true reputation baggage clearence painfully slow "
"804"," rn unexpected fantastic service january "
"805"," previously admittedly years ago indonesia carriers poor reputation european authorities banned european airspace kudos respect awesome admiration indonesian aviation industry turning continuous improvement airlines reputation stellar planes questionable maintenance record unreliably delayed guess "
"806"," rn care january "
"807"," lcc indonesia airlines care passenger airport minute check due business travel airport gate office told check closed check "
"808"," rn expected january "
"809"," shortest lombok bali minutes couldnt find worrying plane nice staff helpful "
"810"," rn wings winging january "
"811"," find review section leave comments wings service operated huge favour fly service cost availability times enticing don fool flies time board "
"812"," rn announcement january "
"813"," airlines problems encounter problems move schedule earlier talked customer service making instructed pay difference check counter thought reasonable "
"814"," rn budget lacks basic services january "
"815"," budget expectations basic expectations clean seat trey table met horrible crew didn people water don hostesses plane inflight service "
"816"," rn flights reliable pilot january "
"817"," flying order vacation family night bali surabaya web check approximately hours check time ensure departure weather good rain clouds thick difficult penetrate thick clouds "
"818"," rn horror january "
"819"," missed connecting denpasar germany bunch unable idiots staying airport give expensive guy shine responsivle worse "
"820"," rn dirt cheap good quality december "
"821"," low cost airlines free check bagage good leg space food drinks offered price outstanding low entertainment screens service good "
"822"," rn budget airlines indonesia december "
"823"," free food beverages served budget carrier requested emergency exit assign seat additional cost "
"824"," rn check carefully operating december "
"825"," terms luggage allowance huge differences sister company wings accept kgs accept cash pay excess luggage don cash situation "
"826"," rn kinda frustrating december "
"827"," pretty bad situation adisutjipto airport arrived room aircon didn work large room long lines waited half hour disappointed officers work faster opened counter "
"828"," rn happy didn crash december "
"829"," booked bengkulu batam day supposed airlines audacity change luckily ticketing staff helpful final destination jarkarta part "
"830"," rn smooth travel december "
"831"," wife flew wings owned group leg holiday eastern indonesia aircraft afr part group recent aircraft upgrade smooth uneventful half hour class service provided "
"832"," rn fine check hassly december "
"833"," terible review fine didnt check jakarta big lcd sign flights lit neon long weekend queues long front tiny printed paper sign listing "
"834"," rn positive december "
"835"," st bandar aceh jakarta years ago sin cgk occasions experience negatives surprisingly punctual reviewers wrong budget flights matter hit miss budget fares cost controls services "
"836"," rn late info december "
"837"," terrible reputation lateness bad practices past year wonderful booked cheap bali jakata dec jt couple hours received sms moved back jt "
"838"," rn dont fly december "
"839"," fly weekly business asia worst asia delayed hours meaning missed connecting sumbawa compensation stick hotel room complete stranger save costs finally flew morning arrive "
"840"," rn nauseating experience december "
"841"," purchase ticket online time flying check counter inform ticket follow passport written ticket missing word bin acceptable "
"842"," rn cheap december "
"843"," found cheap online bali terrible reputation delays problem boarding left time full nice crew comfortable expect "
"844"," rn problem great november "
"845"," reading horror reviews pleasantly surprised smoothly check quick easy intrigued passengers made foot plane staff security supervision short distance staff plane clean "
"846"," rn viey nice experience november "
"847"," bad thing hear indonesian airlines flights company ir partners baltik times experience good punctual min earlier plane friendly problem delete baggage chip "
"848"," rn worst company november "
"849"," minutes delay happen asked free compensation meal minutes asked switched wings connection rejected wanted complain "
"850"," rn experience delay november "
"851"," people dont lionair price soo good mid day delay recommend holiday tight schedule "
"852"," rn cheap route indonesia november "
"853"," recommend airlines traveller explore indonesia route destination indonesia "
"854"," rn lost baggage found send back lost lot money november "
"855"," bali jakarta check employee bali check bag put check belt luggage tag passport german chatting german living germany hannover "
"856"," rn bad november "
"857"," indonesians fan airlines delay worst issue shouldn worried st rarely delayed flying aceh special landing airplane flew sabang weh island suggest "
"858"," rn cheap time november "
"859"," flew lombok denpasar great trip worth paid service good delay "
"860"," rn good november "
"861"," carried baby mo jakarta denpasar afraid time hear bad news flying bad reputation people experienced good time check counter officer "
"862"," rn review cheap time great wheelchair assistance november "
"863"," great ontime booked jakarta bali return business trip traveloka choose based timing price avoiding budget carrier flies route wont detail good caring wheelchair assistance fast efficient check "
"864"," rn time cheap perfect wheelchair november "
"865"," flew bali jakarta lunchtime called day wheelchair service trouble sorted minutes based booking code arrived airport quick efficient checkin whisked security gate plane sorted aisle seat "
"866"," rn dissapoited stewardesses november "
"867"," trip oct jt destination batam solo pilot bramantio checked luggage sensor machine suddenly group pilot stewardess cut queue rushing excuse put luggage surprised looked "
"868"," rn standard october "
"869"," standard find indonesia short low budget dont care service long arrived destination choose negative news safety news delay make choose "
"870"," rn budget plane seldom fly time october "
"871"," travel weeks lionair suitable flights destinations price reasonable boeing er suggestion centimeters feet make seat emergency seat ready delay "
"872"," rn minute comfortable budget october "
"873"," planned organized person minute check hours unlock good deals walk bit jakarta park middle parking prepare buses "
"874"," rn worst experience october "
"875"," st time fly check baggage allowance kg allowed buy penalty exceeded delay due runway maintenance informed asked notice board boarding time gate clear landing awful "
"876"," rn satisfied october "
"877"," lot people complaining experience time morning check fast short queue bagage claim bit longer juanda airport iam satisfied "
"878"," rn luggage torn offerv bth acceptable october "
"879"," luggage torn offer bth unbelivable reason torn careless good quality luggage low quality brand time compensate bth compare client asset management "
"880"," rn fly circumstances october "
"881"," avoid don delays smooth landing end low cost horrible late hour connection spoil "
"882"," rn october "
"883"," common comments delay fact schedule wib change wib due operation reason consequence adjustment agenda conclusion gbu "
"884"," rn wings subsid ta list time october "
"885"," booked online bux good ordered wheelchair crutches checkin efficient wheechair waiting whisked gate boarded time wheeled aircraft allowed crutches board steps "
"886"," rn check counter closed announced october "
"887"," unfriendly staffs willingness arrived krabi airport advance wanted check minutes departure staffs counter told impossible check asked explanation reschedule "
"888"," rn special october "
"889"," average aircraft special fortunately boarding time time previous hope consistency services benchmark brother batik batik serves "
"890"," rn bit worried october "
"891"," time flying bit worried cases happened lateness boarding safety issue day happen delay boarding time concern smoothness landing "
"892"," rn customer service october "
"893"," time displeasure flying company customer service reaches lows ac mechanical minutes scheduled leave times scheduled departure bali lombok forwarding "
"894"," rn blacklist october "
"895"," flew company decided fly airlines anymore delaying flights check counter staff rude changing time short notice ontime imagine urgent situation balcklist "
"896"," rn theft october "
"897"," experience wings bali flores horrific checked bag carousel multiple compartments unzipped personal effects falling sealed duty free bag bottle liquor stolen lodged tracing report ground crew labuanbajo "
"898"," rn buck october "
"899"," time flying didn good impression ll point positives departed time boarding process smooth pretty efficient ground handling crew arrived jakarta ahead schedule "
"900"," rn low cost fare october "
"901"," good choice cheaper cost fare lower cost lower service european middle east american make ready sits cramped seating nice "
"902"," rn suprisingly ontime october "
"903"," period cheapest price previous experience good checkin boarding online checkin dont queue boarding pass im impress time performance time "
"904"," rn pay october "
"905"," price ticket oke coffee tea board time expect travel "
"906"," rn delayed smoothing october "
"907"," september delayed hour experience terrible sudden airplane circling waiting landing felt riding jet coaster landing plane bump landing smoothly "
"908"," rn frequently delayed flights baggage lousy staff october "
"909"," don fly anymore thought price paying choose budget carriers jetstar airasia similar fares reasons comment web login works send emails web check ur "
"910"," rn worst staff october "
"911"," worst staff fly anymore plans flying worst staff customer service felt totally discriminated return ticket working singapore worst thing staff filipinos "
"912"," rn hospitable cabin attendant october "
"913"," honest bad experience time time arrival minutes departure delay numerous routes destination indonesia ticket price competitive compared medium low cost aircrafts friendly crews "
"914"," rn flew wings september "
"915"," good schedule time issues view unpleasant stewardess fresh groomed hair long tight neatly shoulder neat face unhappy smiling big burden "
"916"," rn cheap good plane september "
"917"," cheap price give schedule destination late hehehe short "
"918"," rn time improving september "
