"","klasifikasi","score","text"
"393","Positif",3," hour delay food good staff responsible good seats good landing good baggage management lost staff port kindly managed problem trip good "
"394","Netral",0," rn address january "
"395","Positif",1," emails answers phone answerhow company spend billions buy planes afford efficient customer care service bad "
"396","Netral",0," rn route transit airlines january "
"397","Positif",1," low price trnasit route airport good service customercare center crew cabin soogood nex trip route transfer airport "
"398","Negatif",-1," rn cheap january "
"399","Negatif",-2," delays talking delays miracle dirty seats small leg room ife economy food frozen food preheated microwave don price expensivethis recommended low budget tourist "
"400","Netral",0," rn time flying company january "
"401","Netral",0," time flying airthey badwas cheap bali jakarta booked week beforetravelled child good uswould fly "
"402","Netral",0," rn live life edge january "
"403","Netral",0," lionair rep late figured hrs wait dps catch mel wrong credit pulled stops made min spare exciting spend ladt day indonesia "
"404","Netral",0," rn price january "
"405","Negatif",-2," ’ cheap clean heavily delayed worth amount pay meat transport succeeded pay nickels short heavy turbulence lack safety monitoring risk dying "
"406","Negatif",-1," rn delay january "
"407","Negatif",-2," didnot surprise experience delayed bringing yogyakarta delay "
"408","Netral",0," rn january "
"409","Positif",2," reason choose affordable price delayed minutes pack biscuit compliment landing position smooth price cheap worth "
"410","Negatif",-1," rn bad january "
"411","Negatif",-3," time flew book ticket bit scared bad rumours choose price schedule luckly happened departure bandung time comeback bali "
"412","Negatif",-1," rn worst january "
"413","Negatif",-4," knouse return cgk kno cgk problem persist beginning cgk kno time fews check desk slow check officer handle passengers cgk miss check delayed thirty minutes "
"414","Negatif",-2," rn cheap times delay december "
"415","Positif",3," cheaper fare compare indonesia garuda batik ’ boeing er upg dps transit denpasar including changed aircraft boeing dps bdo free kg baggage snack entertainment unit seat space front seat average attendants friendly "
"416","Negatif",-1," rn worst company december "
"417","Negatif",-1," flew times company months flights canceled delayed hours compensation flights "
"418","Negatif",-1," rn cheap december "
"419","Positif",3," traveled aunt jakarta bali service good affordable good "
"420","Netral",0," rn time leg space december "
"421","Positif",1," staff friendly smartly give snacks water boarding waste hassle small leg space comfortable plane "
"422","Positif",1," rn excellent december "
"423","Positif",1," confess bit worried reading recent reviews awesome boarding time bus transport good cabin crew friendly airplane "
"424","Positif",1," rn worth airlines december "
"425","Netral",0," flew bali surabaya aircraft tired window dirty ac didn’ work hot entire "
"426","Negatif",-1," rn worst december "
"427","Negatif",-1," return denpasar lombok delayed hrs proper reason compensation stated operational problem crews services average company "
"428","Netral",0," rn avond company december "
"429","Negatif",-3," het manado kuala lumpur spend entiteit day manado jakarta left hours delay supposed jakarta direct made unexpected stopover surabaya results delay stopover jakarta supposed hours kl left "
"430","Netral",0," rn minutes flew warms ac december "
"431","Negatif",-1," flew surabaya dec denpasar choice time agenda limited arrived surabaya ac working normal felt difficult breath temperature cabin full passenger warm "
"432","Negatif",-1," rn operational issues december "
"433","Negatif",-2," direct forget place lay plane change minutes late leaving manado due operational issues plane hours late leaving lay place due operational issues ve flights don recall "
"434","Negatif",-1," rn worst time management december "
"435","Netral",0," today december fly pm delayed pm pm staff plane arrived announcement scheduled fly pm delay announcement destination shown top management capable job "
"436","Netral",0," rn time december "
"437","Positif",3," woowwww delay time amazing good nice low budget aorplane travelling save money love arrange passengers cabin luggage "
"438","Negatif",-1," rn lack communication december "
"439","Negatif",-3," lack communication horrendous boards show departure times updated intercom system awful actual info answers staff information tickets "
"440","Netral",0," rn playing waiting game december "
"441","Negatif",-5," worst experience im typing im sitting waiting bali past hours back back delays explanations operational delays weather conditions missed connecting singapore due delay pray back singapore today "
"442","Negatif",-1," rn delay trademark fix december "
"443","Negatif",-5," years traveling delay trademark route delay hour till hours hope fix problem dont technical problem managent problem "
"444","Netral",0," rn fligth krabi bangkok don muang december "
"445","Negatif",-3," delay hours excuse staff ground poor attitude supervisor pay overwheigt kilos bath counter lady listen music min voucher dont give proof payment "
"446","Negatif",-1," rn unbelievable december "
"447","Negatif",-1," friend local travelling palu denpassar makassar plane late leaving palu arrived told left early due leave hour refused offer alternative insisted pay extra remaining leg hours "
"448","Negatif",-1," rn worst travelling experience december "
"449","Positif",1," booked tuesday monday morning paid cimb clicks received email confirmation bank checked internet banking payment waiting booking reference website refresh home page called customer care told didn receive "
"450","Positif",1," rn schedules great december "
"451","Positif",1," bali jogjakarta weekly basis catch friends play golf cheaper bali main airlines route found deal service times flying suit "
"452","Negatif",-1," rn bad service check counter december "
"453","Negatif",-1," rude staff accomodating check luggage hand carry forced check bag eventhough explained lock requested front aisle seat told full left row board "
"454","Negatif",-1," rn scary december "
"455","Negatif",-1," usual delayed hour advise minute conditions plane awful attendant weren’ nice book ticket sat separate requested seats told plane full perfect lie "
"456","Negatif",-1," rn delayed december "
"457","Negatif",-1," flew family batam business purpose delay minutes schedule normal lcc company expecting commented service inside normal "
"458","Negatif",-1," rn delayed hours december "
"459","Negatif",-2," delayed hours understood weather bad time informed passengers bit early boarding time passed "
"460","Negatif",-1," rn worst december "
"461","Negatif",-1," experienced left time hour delay takes minutes informed properly chaos "
"462","Negatif",-1," rn delays december "
"463","Negatif",-5," choice travel delayed skip business meetings miss connecting flights increase stress levels lose sleep ruin day "
"464","Netral",0," rn december "
"465","Positif",2," trouble customers airlines cheaper airlines don expect comfort seat leg room food beverage paid lucky didn "
"466","Positif",1," rn great short domestic december "
"467","Positif",1," checking board service amazing price treated class passengers "
"468","Netral",0," rn cheap good december "
"469","Positif",1," min jakarta crew smile time smiled boarding exiting plane ’ tired pretty thick accents speaking english safety announcements budget "
"470","Netral",0," rn put dot december "
"471","Negatif",-1," don mention detail disappointment title stated tho flew years ago decided tripadvisor update year history put january "
"472","Negatif",-1," rn risk december "
"473","Negatif",-3," walking gate wings announced minute delay turned back cup coffee holding room minutes scheduled time finds time completely irresponsible frequently delayed cancel flights apparent "
"474","Netral",0," rn don expect december "
"475","Positif",3," decided buy ticket recommended fly tight schedule pursue reputation late cheapest indonesia supposed board wib board provide "
"476","Negatif",-1," rn tight nasty airlines avoid airlines december "
"477","Positif",1," rated worst earth seats tight attendants regard passengers water free expect pay toilets point future "
"478","Negatif",-1," rn delayed december "
"479","Negatif",-2," ve heard lot bad reviews choice choose back home price time delayed minutes compared people experiences friend didn day "
"480","Negatif",-1," rn delayed december "
"481","Negatif",-1," flights weeks time bali lombok back flights hrs late lombok jakarta hrs late jakarta singapore hrs late worst thing make announcements find "
"482","Netral",0," rn cancellation november "
"483","Positif",3," recommend flying reason changed book day work schedule refund takes business days months long time money back budget conscious traveler "
"484","Netral",0," rn quid fligys november "
"485","Netral",0," booked app arrived bangkok journey time mins centre bangkok traffic terrible hour leave travel time airport clean tidied huge huge food selection "
"486","Negatif",-1," rn delayed november "
"487","Netral",0," im lucky met delays heard people delay hours cancelled free water spend money leave thirsty aircraft cancellatikn booking "
"488","Positif",1," rn cheapest november "
"489","Negatif",-1," volcanos bali domestic international cancelled situation operate fly knew aircraft seat narrow worth price cheap don surprise delays "
"490","Netral",0," rn anymore november "
"491","Negatif",-5," times experience delayed hours don’ understand delay experience lost stuff luggage inside padlock arrived destination didn’ find bad shame don’ "
"492","Positif",1," rn short delight november "
"493","Positif",3," short crew friendly big smile real life safety demonstration talk indonesian uniform attentdant pretty "
"494","Negatif",-2," rn nightmare bad unprofessional november "
"495","Negatif",-3," couldn land labuan bajo due bad weather conditions flew kupang told morning nightmare began horrible organization transfer accomodation complicated staff flights promised day raising clock "
"496","Negatif",-1," rn flights delayed airport november "
"497","Negatif",-2," explanation due operational problems dont mind paying bit domestic flights ive trip fine connect international missed cuz incompetence "
"498","Negatif",-1," rn hours delay info november "
"499","Negatif",-2," general aircraft service boarding gate informed delayed minutes didn give information disappeared info screens gate boarding time min finally delay hours "
"500","Negatif",-1," rn lie november "
"501","Negatif",-3," delays checked told delayed time alternative fly time check time staff trained cheap "
"502","Positif",1," rn good november "
"503","Netral",0," cabin crew delivered good friendly service flights delayed hour bit inconvenient caused technical issue chain reaction traffics airportsoverall alright "
"504","Netral",0," rn turtle lol november "
"505","Negatif",-1," low cost airlines yeah super poor service delay time information staff hiding cust considered change airlines suggestion turtle airlines "
"506","Netral",0," rn wouldn book november "
"507","Netral",0," attempted booking day indonesia allowing book informed credit cards foreign bank cards hours booking atm transfer googled "
"508","Negatif",-1," rn worst asia november "
"509","Netral",0," dont multiple comments received locals trusted fact biggest private indonesia comments flights booked delayed hours book flights "
"510","Negatif",-1," rn delay acceptable reason october "
"511","Negatif",-2," jt night hour delay friendly attendance terrible sriwijaya citilink delay reason due waiting transit passenger batam "
"512","Negatif",-1," rn delay announcement october "
"513","Negatif",-3," today sl don muang trang delay inform annountment delay inform guest sitting waiting information waiting hear staff call plan informaion delay "
"514","Netral",0," rn late october "
"515","Netral",0," recently flights jakarta yogyakarta back jakarta flights late leaving yogya half hours late give credit point gave fried chicken box doesn free water "
"516","Negatif",-1," rn terrible experience service october "
"517","Negatif",-1," told delay minutes bound fly barely information eveb times happening ended landing original time minute drivers wait "
"518","Netral",0," rn ’ long ’ relying time october "
"519","Negatif",-5," flown multiple occasions domestic flights indonesia generally issues time time ’ve frustrating time delays ongoing issue lot travellers experienced thing note staff manage delays "
"520","Netral",0," rn pay october "
"521","Negatif",-1," frill cheap oke service board flights time lucky domestic termnal yogya bali bit confusing flights leaving gate "
"522","Netral",0," rn feet october "
"523","Positif",1," real thrill knowing confirmed write bunch mails proceeded make uncountable telephone calls people absoloutely plan "
"524","Negatif",-1," rn cancelled hours delay lie travel agency avoid refund october "
"525","Negatif",-1," supposed short transformed worst experience st october supposed fly announced boarding learned midnight finally cancelled yogyakarta airport closed indication whatsoever hours wait staff "
"526","Positif",1," rn economical airways bang time october "
"527","Positif",2," plane bang time landed time planes small fleet meals board average don offer don pay simple hostesses helpful dressed served smile "
"528","Netral",0," rn flying plane october "
"529","Netral",0," flew times satisfactory schedule delayed long landing plane slammed mid october flew batam kuala namu medan medan penang malaysia boarding schedule calling officers "
"530","Netral",0," rn make fly october "
"531","Netral",0," lot airlines group yogyakarta bandung oktober oclock delayed weather boarding poor enjoy half hour yogyakarta minutes top yogyakarta "
"532","Negatif",-1," rn delayed october "
"533","Negatif",-2," delay predicate time plane delayed hours half due operational reason compensation announcement beginning check wait wait "
"534","Negatif",-1," rn cheap service october "
"535","Netral",0," price cheap airplane delayed reason people flexible time recomended aircraft recommend plane "
"536","Positif",1," rn good small flights make gate airport october "
"537","Positif",1," good experiences budget airlines back night coordinate airlines english speaking staffthere airports jakarta indonesia "
"538","Netral",0," rn longer luggage fly october "
"539","Netral",0," omg wait plane hour landed minutes lot bags minutes "
"540","Positif",1," rn pleasantly suprised october "
"541","Positif",2," planned easy check criticism check online print boarding pass holidaylanded time pleasantly surprised reviews complimentary "
"542","Netral",0," rn late october "
"543","Negatif",-1," delayedchange departure time notice delayed top representatives boarding areaif find representative don depart delayed airlines asks customers line board boarding doesn place minutes "
"544","Negatif",-1," rn depart september october delayed hours departure time october "
"545","Negatif",-3," jt october supposed leave cgk jakarta makassar departure late hours departure arrived makassar hasanuddin horrid horrible airlines alll flights delayed upg cgk upg month september "
"546","Netral",0," rn time october "
"547","Negatif",-1," time lucky leave day day time competitors timimg amd don give choice bad don timing part buisness bad "
"548","Negatif",-1," rn disappointed september "
"549","Negatif",-1," acronym late nature describe schedule plane today delayed minutes late schedule morning becauseè time plane late mine today "
"550","Negatif",-2," rn time delay problems luggage september "
"551","Netral",0," cheaper time delay mess boarding people carry bags crew manage bag bigger allowed bag board bags stop respect "
"552","Negatif",-1," rn aint bad class september "
"553","Positif",1," suprisingly half hour boarding delay bad suppose due landing lombok experience good completed super smooth landing lop "
"554","Netral",0," rn average service september "
"555","Positif",3," semarang sunday morning mother law passed buy ticket saturday night normal price scheduled morning perfect time thing matter conditioning didn work properly "
"556","Positif",1," rn good service september "
"557","Positif",1," late customer service wasn good don offer eather glass water plane dirty seats uncomfortable travel thailand smile thai smile "
"558","Negatif",-1," rn mixed feelings dissapointed september "
"559","Negatif",-4," arrived check desk delay hours person counter delay hour finally delay hours missed amsterdam jakarta verbal pressure "
"560","Negatif",-1," rn bad company september "
"561","Negatif",-4," bad experience ruined beautiful weeks holiday return switzerland planning local lombok jakarta delayed times finally late minutes nightmare missed qatar connections jakarta doha doha geneva didn "
"562","Netral",0," rn late september "
"563","Negatif",-1," late departing returning balikpapan hours outgoing hour return september plane dirty inside entertainment pay time choice endeavor "
"564","Netral",0," rn champion delay september "
"565","Negatif",-1," avoid wing airlines due delay traveled airlines experienced delay airlines services remote areas indonesia prefer airlines time destination area covered airlines "
"566","Netral",0," rn time inthe morning september "
"567","Negatif",-2," cheap airlane delay morning strategic time "
"568","Positif",1," rn wonderful service september "
"569","Positif",6," fly bandung bali perfect timing wonderful service helpful crew smooth enjoyed window pay food beverage board price fine "
"570","Netral",0," rn typical low cost career september "
"571","Negatif",-1," typical low cost career thought malindo group career great check check feel lost cost attitude delayed hours bali announcement terminal cabin mark ife food served "
"572","Netral",0," rn running late september "
"573","Positif",1," airways lombok bali runs late day years afternoons id youre planning connecting flights bali lombok give upto hours lead time "
"574","Netral",0," rn leg room september "
"575","Positif",4," airplane leg room fire exit resonable price good service standard smooth chech worth money pay crew good job friend helpful phuket bangkok limited menu "
"576","Netral",0," rn master delay september "
"577","Negatif",-5," poor poor management delayed hours suck airport representative services bad don expect company "
"578","Negatif",-1," rn big delay information hours late info board turned explanation september "
"579","Negatif",-5," delayed hours thirty minutes info switched departure info board staff shrugged shoulders asked happening missed asia bali perth pay idr morning lost prepaid seat assignment meal drink squeezed crap seat asia insurance waste time "
"580","Netral",0," rn average september "
"581","Negatif",-1," usual delay mind choose delay choose good price delay min schedule hospitality good "
"582","Netral",0," rn short distance september "
"583","Positif",1," experience check counter breeze cabin service butt concern legroom pretty tight person slightly taller heavier average asian seats comfortable flying time hours journey uncomfortable barely "
"584","Negatif",-1," rn airlines hate waited september "
"585","Negatif",-2," completely fair delay surname airlines delayed minutes compesation passangers hated nice late solve problem cancel pay expansive real price poor "
"586","Negatif",-1," rn worst august "
"587","Netral",0," minutes late announcing plane solo total delay adds hours screwed night planning driving amed night pay bit extra reliable managed time worth "
"588","Negatif",-2," rn missed due ground crew blunder august "
"589","Positif",1," good budget competent crew based landing nice fas serviceable plane minutes scheduled ground crew announced airport public announcement pa system delayed hours considerable number passengers strolled eat stroll word "
"590","Netral",0," rn low cost compagny banished august "
"591","Negatif",-3," delayed mn departure explanations excuses solution missed connection choice buying ticket asia price finally hours staff wasn answer give solution don choose "
"592","Positif",1," rn low cost good august "
"593","Positif",3," fly monthly bali jogjakarta found schedule service local airlines hidden costs larger free luggage complementary service good "
"594","Negatif",-1," rn expert delay august "
"595","Negatif",-3," late night back home suppose pm announce delayed pm great time heard delay announcement route routes delayed transit kl tired hope "
"596","Negatif",-2," rn delayed safety issues acfc ad august "
"597","Netral",0," time time alternative don recommend slightly asia departure time accident past notorious indonesia garuda promo day citilink subsidiary "
"598","Positif",1," rn lowest price free baggage time august "
"599","Negatif",-2," flying day thought delayed delayed airlines turned boarding time precisely minutes schedule missed minutes departure schedule landed denpasar time "
"600","Negatif",-3," rn cheap budget terrible ontime performance poor legroom august "
"601","Negatif",-1," regulars fly bandung bali planes constantly delayed tall exit row sardine numerous times ve wanted seat row won seats alway empty stupid "
"602","Netral",0," rn august "
"603","Negatif",-1," today flew bali jakarta clock arrived airport ages slow checking bag eventually check bags brought forward hour mins "
"604","Positif",1," rn good august "
"605","Positif",1," good time bit longer time mr president visiting bandung minutes "
"606","Positif",1," rn excellent regional island hopping august "
"607","Positif",3," pleasant experience time clean tidy plane comfortable gripe dont serve food drink board short haul guess slide "
"608","Positif",2," rn free luggage safe travels august "
"609","Positif",1," airlines isn premium carrier free kilogram baggage unlike economy carriers don suitcase occasion pick things traveling fit carry purchase cheap backpack fill nice "
"610","Negatif",-1," rn cheap average service airlines august "
"611","Netral",0," fly airlines cheapest price compared airlines time delayed hour delay queue luckily provide refreshment tough biscuit mineral water prepared arrive airport minimum hours ahead check "
"612","Negatif",-1," rn delay august "
"613","Negatif",-1," delayed hours original scheduled delayed change airplane turbo prop changed boarding gate announcement happen told change boarding gate gate gate ready boarding announcement boarding gate heard searching "
"614","Negatif",-1," rn delayed august "
"615","Netral",0," reached gate told gate agent delayed minutes due equipment change end hours delay departure arrival hour clear immigration fortunately connection catch "
"616","Positif",1," rn good money august "
"617","Netral",0," increased service daily service larger aircraft seat pitch smaller plane slightly late possibly due traffic denpasar "
"618","Netral",0," rn time august "
"619","Positif",3," feel good time early low cost carrier nice comfortable trip choose future "
"620","Positif",1," rn improvement august "
"621","Positif",2," good cases deal low time performance good cheap clean "
"622","Positif",2," rn price good service condition good time rate august "
"623","Positif",3," fare included luggage free meal skip hungry service typical low fare standard condition good time rate betterstill easiest flying domestic indonesia "
"624","Positif",1," rn seats bit close ft guy normal legs consistent cheap cheerful image august "
"625","Netral",0," replaced cheap booked asia fight jkt kl kl bkk melindo night day difference usual cheap cheerful fight room leg melindo partner decent leg "
"626","Negatif",-1," rn poor service august "
"627","Negatif",-1," seats armrest dirty noticed seats stained chewing gum onboard meal sales kg baggage included taking crews "
"628","Positif",1," rn thing good price kg luggage august "
"629","Positif",1," talked bad safe blablai choice surprise good cheap kg luggage staff board friendly "
"630","Netral",0," rn airlines maintain schedule august "
"631","Negatif",-2," hour delayed waited airport flights delayed reason offer free food compensation lounge nightmare small room people waiting flights "
"632","Netral",0," rn august "
"633","Negatif",-1," delayed minutes arrived soekarno hatta airport hours schedule open counters check checked website web check long queue brought bags "
"634","Netral",0," rn low cost airplane august "
"635","Netral",0," airplane good hurry choose airplane delay everyday "
"636","Netral",0," rn maltratan equipajes august "
"637","Positif",1," good afternoon experience good landed luggage men mistreated suitcases luggage broken stained grease approached counter claim answer contact travel insurance "
"638","Negatif",-2," rn cheap break pocket august "
"639","Negatif",-1," fly traveler time departing airlines delay hours average price bad good price domestic travelling indonesia traveler time recommended book disappointing "
"640","Netral",0," rn fine delayed august "
"641","Negatif",-1," arguably terrible world managed people board everyday low cost "
"642","Negatif",-1," rn worst don fly august "
"643","Negatif",-2," trip indonesia internal flights time extended delays hours good reason plane hasn arrived preceding announced gave information staff indifferent situation rude people read reviews "
"644","Negatif",-1," rn full crap august "
"645","Negatif",-3," dirty cabin unfriendly crews delayed hours explanation bad seat pitch average width hot aircraft cheap worth fly wemakepeoplelate pay extra "
"646","Netral",0," rn indonesia garuda august "
"647","Positif",1," good experience friendly cabin crew delayed suggest connecting close "
"648","Negatif",-2," rn rude staff delayed flights august "
"649","Negatif",-2," delayed hours unable online check connecting china asked attendants contact china passengers told didnt china phone number googled phone "
"650","Negatif",-1," rn embarrassment indonesian airlines august "
"651","Negatif",-2," airlines records guinness book record cancelled week delayed week talking hours delay half hour delay fantastic "
"652","Netral",0," rn true low cost august "
"653","Netral",0," true type low cost charge water "
"654","Netral",0," rn august "
"655","Negatif",-2," budget check counter slow extra effort open additional encounter slow "
"656","Netral",0," rn money budget july "
"657","Positif",1," cheap paid trip bali singapore hours transit jakarta frills means gotta carry drinks food board boeing er decent aircraft leg room attendants friendly "
"658","Negatif",-1," rn service confusing landing july "
"659","Netral",0," booked time offer direct connection kno pdg expected time servicd onboard pay small water good service landing pdg confusing brake runway landing machine "
"660","Negatif",-1," rn worst july "
"661","Negatif",-2," read frequent delays hato experience ruined trip bali lombok supposed depart ended leaving time hotel lombok pm plans thought "
"662","Negatif",-1," rn delay brand image july "
"663","Negatif",-3," domestic avoid choose airlines bad experiences delay international kl sin time positive things routes domestic price cheap "
"664","Negatif",-1," rn worst july "
"665","Positif",2," taking back christmas holiday rescheduled fine cus rescheduled week promised direct jakarta ternate checked jakarta surprisingly tickets means transit tickets showed "
"666","Positif",1," rn recommended july "
"667","Negatif",-5," minutes delay hours delay longer time ridiculous plane filled angry tired passengers doesn care customers "
"668","Negatif",-1," rn cramped seating july "
"669","Positif",1," ve flown boeing cramped seating arrangement plane legroom tall persons positive side time plane clean "
"670","Netral",0," rn line july "
"671","Netral",0," disappointed understand competitive price offset maximum service raises complaints arise choice enjoy trip "
"672","Netral",0," rn recommeded special july "
"673","Negatif",-1," honest timer international fly aircraft bad crazy time fit checking counter opened hour boarding time waited hour due arriving hours boarding pass "
"674","Negatif",-1," rn breaking indonesian law july "
"675","Negatif",-1," hours late bali due indonesian law allowed idr person delay hours people counter hour didn give hour money manager "
"676","Netral",0," rn avoid july "
"677","Negatif",-3," avoid cost case cost tickets delayed hours announcement staff connecting told wait answer missed connecting bags lost pay "
"678","Negatif",-1," rn bad airplane world july "
"679","Negatif",-4," bad airplane world kerjanya cuman delay delay dan delay upgrade trip passengers "
"680","Positif",1," rn quick prompt extra mile july "
"681","Positif",5," reasonable fares newer planes quick trips quick boarding exiting plenty food options purchase friendly helpful staff son left phone found ready returned mini trip vacation excellent landings multiple language interpretations "
"682","Netral",0," rn route airport indonesia july "
"683","Netral",0," years ago people complaint dont option market leader indonesia route city indonesia low cost carrier dont expect entertainmnent thing made improvement "
"684","Negatif",-1," rn worst july "
"685","Netral",0," traveled jambi service slow staff helpful friendly staff playing customer ticket agreement check time minutes departure reality customer check minutes departure rejected check counter "
"686","Netral",0," rn july "
"687","Netral",0," budget unlike airlines include kilos luggage person don worry luggage family travelling hari raya idul fitri price times normal price reasonable frequent flights jakarta "
"688","Netral",0," rn surprisingly time july "
"689","Negatif",-1," travel day idul fitri peak season thought late delay surprisingly didn "
"690","Netral",0," rn price service july "
"691","Netral",0," offer cheap ticket big cities indonesia earlier book cheaper price batik sister east part indonesia fly malaysia thailand armada aircrafts ground staff "
"692","Netral",0," rn minus late min july "
"693","Negatif",-1," special rule cabin luuggage dó wory flights indonesia jakarta yogyakarta yogyakarta denpasar denpasar jakarta check cabin luggage weight cabin luggage passangers bring normal cabin luggage problem "
"694","Netral",0," rn late late late june "
"695","Negatif",-1," delay routes indonesia airplane didn counterbalancing good management delay hours "
"696","Netral",0," rn late nature june "
"697","Negatif",-6," worst airlines indonesia flights expect delays problems including unproffesional ground crew long queue checking check staffs working slow chat staffs double booking tickets bad baggage handling unlike airlines luggage broken picked arrival "
"698","Netral",0," rn time plm pgk return june "
"699","Positif",2," route special price beginning ramadhan fasting month directly bought early morning plane lcc comfortable legroom wasn comfortable taller people tall person seat "
"700","Netral",0," rn singapore june "
"701","Positif",1," booked agent diethelm tours bangkok boarding quick easy staff kind food deliciousi feeling singapore seat leg space smaller return "
"702","Negatif",-1," rn poor check process baggage pickup cgk terminal june "
"703","Negatif",-2," experience future travel plan thought price lowest airlines check process killed mood vacation arrived hours time usual find long queues single counter unclear lines "
"704","Netral",0," rn good cheap june "
"705","Negatif",-1," frills pay extra luggage capacity add cheap airlines "
"706","Positif",1," rn good budget june "
"707","Positif",4," flown easy book online fast left time ve flown staff pleasant helpful ve problems asia free luggage kg "
"708","Netral",0," rn timers june "
"709","Negatif",-1," didn trust issues scared flying scared delays issues yesterday time soooo long yesterday awesome check desk baggage drops delays perfect perfect landing good job "
"710","Positif",2," rn time good jet smooth june "
"711","Positif",1," smooth time multiple experience people delayed true companies airasia garuda improve system ontime price "
"712","Negatif",-1," rn safety operations issues june "
"713","Negatif",-3," jt june lopaircraft boeing registration pk lhkflight safety aircrew fatigue cabin crew member falling asleep climb fod discarded drink containers dispersal gate aircraft seating seat seat strap incorrectly fitted order wear "
"714","Netral",0," rn average june "
"715","Positif",1," delayed complimentary seat comforting attendance smile good budget plenty spare time beware delay "
"716","Netral",0," rn ontime june "
"717","Positif",2," travel noticed flights schedule starting boarding landing time schedule important thing safety hope continue improve order passengers anymore "
"718","Positif",2," rn made significant improvement otp time performance june "
"719","Negatif",-3," decided fly attempts past bad experience flying ranging returned engine problem rude treatment attendants boarding stopped flying completely end recently flying "
"720","Netral",0," rn charter direct guangzhou manado june "
"721","Negatif",-1," friend asked join diving tour manado find charter direct guangzhou manado excited boeing er delayed hour leave guangzhou airport services terrible hours "
"722","Negatif",-1," rn absurd "
"723","Netral",0," time flying company hours delayed boat gili late time charged extra taxes imagine reach gili airplane stood min stopped hot inside plane "
"724","Negatif",-1," rn delayed "
"725","Negatif",-1," time company hours delayed explanation boat gili late time charged extra taxes "
"726","Netral",0," rn stinking toilets "
"727","Negatif",-3," toilets stinking urine smell difficult passengers seated toilets kind spray sprayed aircrew similiar experience flying jogjakarta jakarta hope make minus urine smell "
"728","Netral",0," rn good delay "
"729","Positif",3," trips time abroad lucky time experienced travelling domestic delay crews friendly helpful arrived indonesia safely "
"730","Negatif",-1," rn dirty "
"731","Negatif",-3," poor gate information people flying jakarta mars plane dirty corner full crumbs crap cleaning loaded passenger arrival asia cheap flights indonesia clean "
"732","Netral",0," rn destination "
"733","Netral",0," destination customer service time departure reasonable baggage policy ’ slogan “ fly cheap” good thing accomplishing safety complaints flights "
"734","Netral",0," rn average "
"735","Negatif",-1," hours delayed informed technical error bandung airport expected budget attendants job polite "
"736","Negatif",-1," rn make people miss flights purpose "
"737","Negatif",-2," missed denpasar lombok lost rest trip lombok kuala lumpur waiting airport screens show info gate long time believing gate destination "
"738","Negatif",-3," rn delays delays delays "
"739","Positif",1," booked bali lombok return thinking wow great faster boat lie ways delays half hours pilot circle mins landing return "
"740","Netral",0," rn expected budget "
"741","Positif",1," flew jakarta bali due price expected due price budget carrier basic legroom plane older cramped taller ft booking exit row ideal expect warm con takeoff "
"742","Negatif",-1," rn average cheap price "
"743","Positif",1," prefer cheap price short suitable time level ac aboard aircraft hot aircraft ground cooler aircraft main problem withing landing phase "
"744","Netral",0," rn morning hoamz april "
"745","Positif",2," time morning time choose morning cabin crew fast serve passenger helpful passenger baggage seat good window dirty "
"746","Positif",1," rn time comfortable april "
"747","Positif",4," recently initiated daily kupang denpasar good money aircraft clean arrived time staff friendly helpful check baggage collection "
"748","Netral",0," rn april "
"749","Negatif",-2," past saturday april time hours delay month hours delay totaly unacceptable dont custoner dont situation customer desapointed unprofessional dangerous life good luck "
"750","Netral",0," rn fly april "
"751","Negatif",-4," time ve delayed past weekend bad flew missed airasia needed home checking screen terminal delayed hour inside insisted "
"752","Netral",0," rn don april "
"753","Negatif",-1," don waste time theses guys cancelled notification turning airport kupang staff clue happening guy cancelled back tomorrow laughing "
"754","Netral",0," rn family trip years years april "
"755","Negatif",-1," kind surprising time schedule wasnt ontime back kinda bumpy normal fuzz departure landing "
"756","Negatif",-1," rn bad april "
"757","Negatif",-2," reading terrible reviews scared fly expected delays friendly staff plane bit shaky landing water nice recommend flying cheap price "
"758","Netral",0," rn fly april "
"759","Negatif",-1," flew return denpasar lombok delayed ways hrs don don reasons awful service catch boat honest "
"760","Negatif",-1," rn worst travel experience haven boarded april "
"761","Netral",0," complete joke mob customer completely website booking process doesn work app won accept payment days hotel reserve pay flights apparently don accept foreign transfers credit cards figure unable book "
"762","Negatif",-1," rn number terrible service world april "
"763","Negatif",-2," times bought flights time terrible service delayedno airplease owner realize stupid position "
"764","Negatif",-1," rn lazy late april "
"765","Negatif",-6," worst indonesian addition budget planes full broken equipment planes late leave arrive time make worse employees disorganized apathetic collectively terrible people fly "
"766","Positif",1," rn patient keyword march "
"767","Netral",0," lionair biggest company indonesia cover destination indonesia including remote location wings company group serve smaller aircraft schedule make choose schedule providing cheap ticket compare ideal "
"768","Netral",0," rn fast frills travel cheap march "
"769","Netral",0," ve flown times years chaotic legroom real board service efficient indonesian archipelago constantly expanding list destinations subsidiary wings covers large stretch "
"770","Netral",0," rn helpfull march "
"771","Netral",0," nam cancelled time arrived airport ado directed customer service office hour airport suffered tropical deluge staff politely diligently worked passengers "
"772","Negatif",-1," rn total confusion start finish march "
"773","Negatif",-1," bought online cheap complain price bux return substantial return arrived airport checked smooth asked aisle seat middle front sir didnt check seat number boarded boarded plane late "
"774","Positif",1," rn improving march "
